title,author,downloads
"A history of the Peninsular War, Vol. 3, Sep. 1809-Dec. 1810 ",Charles Oman,4744
"Reliques of Ancient English Poetry, Volume 1 (of 3)",Unknown,4740
The reader's guide to the Encyclopaedia Britannica ,Inc. Encyclopaedia Britannica,4738
The French Revolution,Thomas Carlyle,4735
The speaker's ideal entertainments ,George M. Vickers,4719
Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,4699
Mesopotamian Archaeology,Percy S. P. Handcock,4693
Some Jewish Witnesses For Christ,Aaron Bernstein,4687
"The Roll of Honour, Volume 1 ",marquis de Melville Henry Massue Ruvigny et Raineval,4686
Acres of Diamonds,Russell H. Conwell,4676
This Side of Paradise,F. Scott Fitzgerald,4656
I. Beówulf,Unknown,4654
George Cruikshank,W. H. Chesson,4645
What Is Art?,graf Leo Tolstoy,4643
North and South,Elizabeth Cleghorn Gaskell,4643
The Practice and Science of Drawing,Harold Speed,4641
"Lineage, Life and Labors of José Rizal, Philippine Patriot",Austin Craig,4634
A dictionary of English proverbs and proverbial phrases ,Unknown,4632
The Institutes of Justinian,Unknown,4632
A Popular History of Astronomy During the Nineteenth Century,Agnes M. Clerke,4630
The Life of Reason,George Santayana,4630
Lincoln's yarns and stories ,Alexander K. McClure,4629
"The Philippine Islands, 1493-1898, Volume 52, 1841-1898",Unknown,4629
The Rise of the Mediaeval Church,Alexander Clarence Flick,4629
"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere) (Tagalog)",José Rizal,4625
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,4624
"The General Historie of Virginia, New England & the Summer Isles  (Vol. I)",John Smith,4623
A Christmas Carol,Charles Dickens,4617
Shakespearean Tragedy,A. C. Bradley,4614
"Modern English biography, volume 1 (of 4), A-H",Frederic Boase,4610
Principles of Political Economy,John Stuart Mill,4600
Demonology and Devil-lore,Moncure Daniel Conway,4597
Malay Magic,Walter William Skeat,4595
"I, Mars",Ray Bradbury,4593
The Golden Bough,James George Frazer,4587
Politics,Aristotle,4582
施公案 (Chinese),Anonymous,4576
"The Story of Little Black Sambo, and The Story of Little Black Mingo",Helen Bannerman,4569
Three Ghost Stories,Charles Dickens,4563
"Volpone; Or, The Fox",Ben Jonson,4563
"Dictionary of Quotations from Ancient and Modern, English and Foreign Sources",Rev. James Wood,4563
"Encyclopaedia Britannica, 11th Edition, ""Gichtel, Johann"" to ""Glory""",Various,4557
"1900; or, The last President",Ingersoll Lockwood,4529
The Works of Mark Twain,Mark Twain,4526
The Nibelungenlied,Unknown,4524
"The Philippine Islands, 1493-1898 - Volume 40 of 55, 1690-1691",Unknown,4520
The Trial,Franz Kafka,4520
"De Re Metallica, Translated from the First Latin Edition of 1556",Georg Agricola,4517
The possessed ,Fyodor Dostoyevsky,4513
Highways and Byways in Cambridge and Ely,John William Edward Conybeare,4506
Martin Eden,Jack London,4498
Curious Facts in the History of Insects; Including Spiders and Scorpions.,Frank Cowan,4498
Les trois mousquetaires (French),Alexandre Dumas and Auguste Maquet,4497
"The Ancient Stone Implements, Weapons and Ornaments, of Great Britain",John Evans,4492
Pen-portraits of literary women ,Unknown,4489
"Brief Lives, Vol. 2",John Aubrey,4469
Legends of Charlemagne,Thomas Bulfinch,4468
The Story of My Life,Helen Keller,4463
"The Works of Edgar Allan Poe, The Raven Edition",Edgar Allan Poe,4457
Dao De Jing,Laozi,4453
The Nature of Animal Light,E. Newton Harvey,4446
"The Natural History of Pliny, Volume 3 (of 6)",the Elder Pliny,4444
The Subjection of Women,John Stuart Mill,4441
Letters of Pliny,the Younger Pliny,4440
Thoughts of Marcus Aurelius Antoninus,Emperor of Rome Marcus Aurelius,4432
Psychology of the Unconscious,C. G. Jung,4414
An anthology of German literature (German),Calvin Thomas,4411
"The Satires of Juvenal, Persius, Sulpicia, and Lucilius","Persius, Gaius Lucilius, Juvenal, and Sulpicia",4409
"The Memoirs of François René Vicomte de Chateaubriand sometime Ambassador to England, Volume 4 (of 6)",vicomte de François-René Chateaubriand,4409
"The Bible, Douay-Rheims, Complete",Unknown,4404
The Interpretation of Dreams,Sigmund Freud,4400
The Holes Around Mars,Jerome Bixby,4398
"Le comte de Monte-Cristo, Tome I (French)",Alexandre Dumas and Auguste Maquet,4392
"News from Nowhere; Or, An Epoch of Rest",William Morris,4391
Selections from Viri Romae (Latin),C. F. L'Homond,4386
Tremendous Trifles,G. K. Chesterton,4384
A passage to India,E. M. Forster,4383
The Common Law,Oliver Wendell Holmes,4381
The Problem of China,Bertrand Russell,4373
The Masque of the Red Death,Edgar Allan Poe,4371
The Chronology of Ancient Kingdoms Amended,Isaac Newton,4369
The Progress of Invention in the Nineteenth Century.,Edward W. Byrn,4365
Twelve Years a Slave,Solomon Northup,4365
"The Spectator, Volume 1",Sir Richard Steele and Joseph Addison,4350
Les quatre livres de philosophie morale et politique de la Chine (French),Confucius and Mencius,4348
The Science of Getting Rich,W. D. Wattles,4343
Zakflora voor Suriname [Deel I] (Dutch),A. A. Pulle,4324
Far from the Madding Crowd,Thomas Hardy,4324
"German Science Reader (German)",Charles Frederick Kroeh,4318
Twenty-Five Ghost Stories,Unknown,4315
The World as Will and Idea (Vol. 1 of 3),Arthur Schopenhauer,4312
南腔北調集 (Chinese),Xun Lu,4307
"The Art of Perfumery, and Methods of Obtaining the Odors of Plants",G. W. Septimus Piesse,4304
"A Short History of Freethought Ancient and Modern, Volume 1 of 2",J. M. Robertson,4303
Geographical etymology,Christina Blackie,4302
Stories from Tagore,Rabindranath Tagore,4281
The innocence of Father Brown,G. K. Chesterton,4276
The Outline of History,H. G. Wells,4263
Aeneidos (Latin),Virgil,4262
The Canterville Ghost,Oscar Wilde,4254
Mrs. Dalloway,Virginia Woolf,4253
Herland,Charlotte Perkins Gilman,4252
Man and Superman,Bernard Shaw,4249
Noli me tángere (Spanish),José Rizal,4245
Jesus the Christ,James E. Talmage,4245
Utilitarianism,John Stuart Mill,4223
The Survey of London,John Stow,4221
South,Sir Ernest Henry Shackleton,4219
On the Nature of Things,Titus Lucretius Carus,4218
A history of social thought,Emory S. Bogardus,4214
The Origin of Species by Means of Natural Selection,Charles Darwin,4210
The Complete Project Gutenberg Works of Jane Austen,Jane Austen,4202
Facts and Speculations on the Origin and History of Playing Cards,William Andrew Chatto,4190
Uncle Vanya,Anton Pavlovich Chekhov,4185
Tacitus,Cornelius Tacitus,4185
The American Language,H. L. Mencken,4180
The Glories of Ireland,Unknown,4176
The Tragedy of Pudd'nhead Wilson,Mark Twain,4175
The American Occupation of the Philippines 1898-1912,James H. Blount,4175
On the Sublime,active 1st century Longinus,4172
"History of the Royal Regiment of Artillery, Vol. 1",Francis Duncan,4167
The Age of Innocence,Edith Wharton,4164
"Nil Darpan; or, The Indigo Planting Mirror, A Drama.",Dinabandhu Mitra,4163
The Handbook to English Heraldry,Charles Boutell,4163
The Home Book of Verse — Volume 2,Burton Egbert Stevenson,4160
The Lives and Opinions of Eminent Philosophers,Diogenes Laertius,4159
Opticks ,Isaac Newton,4159
Also sprach Zarathustra,Friedrich Wilhelm Nietzsche,4154
The First Six Books of the Elements of Euclid,John Casey and Euclid,4141
"Die Deutschen Familiennamen, geschichtlich, geographisch, sprachlich (German)",Albert Heintze,4138
The Roman assemblies from their origin to the end of the Republic,George Willis Botsford,4132
Ely Cathedral,Anonymous,4131
"Dio's Rome, Volume 5",Cassius Dio Cocceianus,4128
The Meditations of the Emperor Marcus Aurelius Antoninus,Emperor of Rome Marcus Aurelius,4126
Andersen's Fairy Tales,H. C. Andersen,4119
歡喜冤家 (Chinese),Xihuyuyinzhuren,4118
Tragic Sense Of Life,Miguel de Unamuno,4104
Language of Flowers,Kate Greenaway,4099
The Complete Poetical Works of Edgar Allan Poe,Edgar Allan Poe,4098
Portuguese literature,Aubrey F. G. Bell,4097
Tribute to Michael Hart (Arabic),Majid AlHydar,4096
The Slayer of Souls,Robert W. Chambers,4079
New England and the Bavarian Illuminati,Vernon Stauffer,4077
"History, Gazetteer, and Directory of Shropshire [1851]",Samuel Bagshaw,4075
"Encyclopaedia Britannica, 11th Edition, ""Coucy-le-Château"" to ""Crocodile""",Various,4075
Byways in British Archaeology,Walter Johnson,4073
"Dio's Rome, Volume 1",Cassius Dio Cocceianus,4059
"Œuvres de P. Corneille, Tome 02 (French)",Pierre Corneille,4057
"Plutarch's Lives, Volume 1 (of 4)",Plutarch,4050
"Lyrical Ballads, With a Few Other Poems (1798)",Samuel Taylor Coleridge and William Wordsworth,4049
"History of the Reformation in the Sixteenth Century, Volume 5",J. H. Merle d'Aubigné,4038
Historic Paris,Jetta Sophia Wolff,4037
Gilbert Keith Chesterton,Maisie Ward,4032
Secret societies and subversive movements,Nesta Helen Webster,4029
"England under the Angevin Kings, Volume II",Kate Norgate,4028
A Concise Anglo-Saxon Dictionary,J. R. Clark Hall,4027
Cane,Jean Toomer,4027
Argonauts of the Western Pacific,Bronislaw Malinowski,4025
The Frontier in American History,Frederick Jackson Turner,4024
Ancient Pagan and Modern Christian Symbolism,Thomas Inman and M.R.C.S.E. John Newton,4024
The New English Canaan of Thomas Morton with Introductory Matter and Notes,Thomas Morton,4014
"The Life of John Marshall, Volume 3",Albert J. Beveridge,4005
An Enemy of the People,Henrik Ibsen,4001
The House of the Wolfings,William Morris,3997
The symbolism of Freemasonry ,Albert Gallatin Mackey,3997
The Poetical Works of William Wordsworth — Volume 7 (of 8),William Wordsworth,3996
中國十大禁書之國色天香 (Chinese),active 16th century Jingsuo Wu,3996
"Der Briefwechsel zwischen Friedrich Engels und Karl Marx 1844 bis 1883, Erster Band (German)",Karl Marx and Friedrich Engels,3992
La Divina Comedia (Spanish),Dante Alighieri,3991
"Journal d'un bourgeois de Paris, 1405-1449 (French)",Unknown,3989
Letters of Abelard and Heloise,Peter Abelard and Héloïse,3984
Ireland in Fiction,Stephen J. M. Brown,3983
"A New System; or, an Analysis of Antient Mythology. Volume 1 (of 6)",Jacob Bryant,3977
The Marching Morons,C. M. Kornbluth,3973
What Is Man? and Other Essays,Mark Twain,3970
Society as I Have Found It,Ward McAllister,3969
The Fairy-Faith in Celtic Countries,W. Y. Evans-Wentz,3968
The Decoration of Houses,Edith Wharton and Ogden Codman,3968
Kidnapped,Robert Louis Stevenson,3964
Russian Fairy Tales,Unknown,3958
花月痕 (Chinese),Zi'an Wei,3958
The autobiography of Arthur Young ,Arthur Young,3955
Anne of Avonlea,L. M. Montgomery,3955
"The Journals of Lewis and Clark, 1804-1806",Meriwether Lewis and William Clark,3955
A Tramp Abroad,Mark Twain,3955
Bible Myths and their Parallels in other Religions,T. W. Doane,3953
Best Russian Short Stories,Unknown,3952
"Plays by Anton Chekhov, Second Series",Anton Pavlovich Chekhov,3949
Nobody,Louis Joseph Vance,3945
The Criminal Prosecution and Capital Punishment of Animals,E. P. Evans,3944
The History of a Crime,Victor Hugo,3940
Essays of Schopenhauer,Arthur Schopenhauer,3934
The Wonders of the Invisible World,Cotton Mather and Increase Mather,3930
What's Wrong with the World,G. K. Chesterton,3925
"The Letters of William James, Vol. 1",William James,3919
Modern Spanish Lyrics (Spanish),Unknown,3918
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",Giacomo Casanova,3916
Tamburlaine the Great — Part 1,Christopher Marlowe,3916
The Sketch-Book of Geoffrey Crayon,Washington Irving,3915
Considerations on Representative Government,John Stuart Mill,3915
The Pilgrim's Progress by John Bunyan Every Child Can Read,John Bunyan,3913
The London pleasure gardens of the eighteenth century,Warwick William Wroth and Arthur Edgar Wroth,3912
"The Journal of Negro History, Volume 8, 1923",Various,3910
"A Literary History of the English People, from the Origins to the Renaissance",J. J. Jusserand,3907
九尾狐 (Chinese),Pinghuazhuren,3904
"England under the Angevin Kings, Volume I",Kate Norgate,3904
Nonsense Books,Edward Lear,3895
"Bushido, the Soul of Japan",Inazo Nitobe,3895
A general history of the pyrates ,active 1724-1731 Charles Johnson,3895
The Old Curiosity Shop,Charles Dickens,3895
"The Histories of Polybius, Vol. 1 (of 2)",Polybius,3889
Timaeus,Plato,3887
The Wendigo,Algernon Blackwood,3885
How it Works,Archibald Williams,3884
Laughter,Henri Bergson,3872
The Essays of Arthur Schopenhauer,Arthur Schopenhauer,3870
The House of Mirth,Edith Wharton,3866
"The Geography of Strabo, Volume 1 (of 3)",Strabo,3866
The Online World,Odd De Presno,3865
The Oldest Code of Laws in the World,King of Babylonia Hammurabi,3864
The La Chance Mine Mystery,Susan Morrow Jones,3861
The Rubaiyat of Omar Khayyam,Omar Khayyam,3860
Roget's Thesaurus,Peter Mark Roget,3859
Privateering and Piracy in the Colonial Period,Unknown,3856
Vegetable Teratology,Maxwell T. Masters,3851
The Aeneid of Virgil,Virgil,3841
The Sun Also Rises,Ernest Hemingway,3840
"The Philippine Islands, 1493-1898—Volume 34 of 55, 1519-1522; 1280-1605",Antonio Pigafetta,3835
A Short History of the World,H. G. Wells,3833
"The Junior Classics, Volume 1",William Allan Neilson,3832
Giordano Bruno,J. Lewis McIntyre,3832
"The Geography of Strabo, Volume 3 (of 3)",Strabo,3830
The Medicine-Men of the Apache. (1892 N 09 / 1887-1888 (pages 443-604)),John Gregory Bourke,3826
The Declaration of Independence of the United States of America,Thomas Jefferson,3826
Miss Eden's Letters,Emily Eden,3824
"A History of Magic and Experimental Science, Volume 2 (of 2)",Lynn Thorndike,3818
While the Billy Boils,Henry Lawson,3816
Beeton's Book of Needlework,Mrs. Beeton,3815
Memoirs of Napoleon Bonaparte — Complete,Louis Antoine Fauvelet de Bourrienne,3815
"The Tragedies of Euripides, Volume I.",Euripides,3784
The Curious Lore of Precious Stones,George Frederick Kunz,3767
Troilus and Criseyde,Geoffrey Chaucer,3766
A General View of Positivism,Auguste Comte,3762
The World as Will and Idea (Vol. 3 of 3),Arthur Schopenhauer,3757
池北偶談 (Chinese),Shizhen Wang,3756
Write It Right,Ambrose Bierce,3753
The New Gresham Encyclopedia. A to Amide,Various,3751
The Expression of the Emotions in Man and Animals,Charles Darwin,3749
Fifteen Thousand Useful Phrases,Grenville Kleiser,3747
The Mysterious Island,Jules Verne,3741
A Shropshire Lad,A. E. Housman,3735
The Medicinal Plants of the Philippines,T. H. Pardo de Tavera,3715
"Encyclopaedia Britannica, 11th Edition, ""Lord Chamberlain"" to ""Luqman""",Various,3713
"A Popular History of France from the Earliest Times, Volume 5",François Guizot,3701
The Civilisation of the Renaissance in Italy,Jacob Burckhardt,3688
Encyclopedia of Needlework,Thérèse de Dillmont,3686
Famous Modern Ghost Stories,Unknown,3680
The Gentlemen's Book of Etiquette and Manual of Politeness,Cecil B. Hartley,3680
"Balder the Beautiful, Volume I.",James George Frazer,3679
"Fossil plants, Vol. 2 ",A. C. Seward,3678
History of the Decline and Fall of the Roman Empire — Volume 1,Edward Gibbon,3678
The Angel in the House,Coventry Patmore,3676
Webster's Unabridged Dictionary,Various,3673
The English Lakes,William T. Palmer,3669
Our Mutual Friend,Charles Dickens,3667
Domesday Book and Beyond,Frederic William Maitland,3667
The Satyricon of Petronius Arbiter,Petronius Arbiter,3664
Mr. Honey's Large Business Dictionary (English-German) (German),Winfried Honig,3660
Triplanetary,E. E. Smith,3659
A Concise Dictionary of Middle English from A.D. 1150 to 1580,Walter W. Skeat and A. L. Mayhew,3658
"The Battle of the Books, and other Short Pieces",Jonathan Swift,3656
Sketches New and Old,Mark Twain,3656
"The Philippine Islands, 1493-1803 — Volume 05 of 55",Unknown,3655
The Cask of Amontillado,Edgar Allan Poe,3654
The Best American Humorous Short Stories,Unknown,3650
The Book of the Thousand Nights and a Night — Volume 01 (of 10),Unknown,3643
Spanish Tales for Beginners (Spanish),Unknown,3638
石點頭 (Chinese),Tianranchisou,3638
A Narrative of the Life of Mrs. Mary Jemison,James E. Seaver,3638
The Mayor of Casterbridge,Thomas Hardy,3636
"The History of England in Three Volumes, Vol.III.",Edward Farr and E. H. Nolan,3632
Shakespeare's Sonnets,William Shakespeare,3623
Adventures of Sherlock Holmes,Arthur Conan Doyle,3623
Mark Twain,Albert Bigelow Paine,3621
A History of Literary Criticism in the Renaissance,Joel Elias Spingarn,3620
On Love,Stendhal,3620
Showell's Dictionary of Birmingham,Thomas T. Harman and Walter Showell,3617
"Novum Organum; Or, True Suggestions for the Interpretation of Nature",Francis Bacon,3616
Shell-shock and other neuropsychiatric problems ,Elmer Ernest Southard,3616
The Book of the Thousand Nights and a Night — Volume 05 (of 10),Unknown,3615
A Short History of French Literature,George Saintsbury,3612
"The Mysterious Stranger, and Other Stories",Mark Twain,3611
